,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
4101,Low,USA,M,3,E,AN,N,2,1.0,6,c,SG,SE,M,8.0,Associates (2 years),No,N,40.0,one
4102,High,USA,M,8,E,E,N,10,2.0,3,m,PB,,M,20.0,Bachelors (4 years),Yes,YesExpired,70.0,two
4103,Mid,Ireland,M,10,E,DBAG,N,10,3.0,1,C,PB,S,M,18.0,Masters,Yes,YesValid,40.0,zero
4104,Low,USA,O,4,E,D,N,2,1.0,1,m,PB,S,M,10.0,Bachelors (4 years),Yes,N,42.0,zero
4105,Mid,USA,M,7,E,D,N,6,2.0,0,m,E,,M,2.0,Bachelors (4 years),Yes,N,40.0,zero
4106,Very High,USA,M,14,EC,DBAG,Y,14,1.0,0,c,PB,,M,50.0,Bachelors (4 years),Yes,YesValid,45.0,one
4107,Very High,USA,M,5,E,AN,Y,6,2.0,3,m,PB,SE,M,10.0,Associates (2 years),,N,50.0,five
4108,High,USA,M,20,E,DBAG,N,20,6.0,0,m,PB,S,M,8.0,Bachelors (4 years),Yes,N,50.0,two
4109,Low,USA,M,10,E,DBAG,N,5,2.0,0,C,PB,S,M,3.0,Associates (2 years),Yes,N,50.0,one
4110,Mid,Switzerland,M,10,E,DT,N,10,2.0,1,t,PB,S,M,200.0,Associates (2 years),,N,45.0,zero
4111,High,USA,M,6,E,M,Y,4,2.0,3,m,PB,SE,M,15.0,Masters,No,N,20.0,five
4112,Mid,USA,M,8,E,A,Y,3,5.0,0,t,PB,S,M,50.0,Bachelors (4 years),Yes,N,60.0,one
4113,Low,USA,M,1,E,D,Y,1,1.0,1,c,PB,SE,M,10.0,Associates (2 years),No,N,55.0,zero
4114,Very Low,USA,O,4,E,,N,1,2.0,5,C,PB,SE,M,10.0,Bachelors (4 years),No,N,40.0,zero
4115,Mid,UK,M,4,E,AN,Y,1,1.0,1,m,PB,SE,M,2.0,Masters,No,N,60.0,two
4116,Mid,USA,M,9,E,DBAP,N,9,3.0,6,C,PB,SE,M,500.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4117,Very High,USA,M,20,E,DBAG,N,23,4.0,0,C,PB,S,M,30.0,None (no degree completed),,YesExpired,30.0,five
4118,Low,USA,M,3,E,DBAP,N,3,1.0,0,C,PB,S,M,20.0,None (no degree completed),,YesValid,40.0,five
4119,Very High,USA,,5,E,M,Y,2,1.0,0,m,PB,S,M,25.0,Bachelors (4 years),Yes,N,55.0,five
4120,Low,USA,M,3,E,DBAG,N,3,2.0,1,m,E,SR,M,6.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4121,Low,USA,M,4,E,AN,N,3,2.0,2,C,PB,SE,M,3.0,Associates (2 years),No,N,45.0,zero
4122,Very High,USA,M,7,E,DBAG,N,6,3.0,0,C,PB,SE,M,8.0,Bachelors (4 years),No,N,40.0,one
4123,Low,USA,M,5,E,AN,Y,4,1.0,1,C,PB,SE,M,3.0,None (no degree completed),,N,45.0,zero
4124,Very High,USA,,1,E,DBAD,N,7,2.0,6,m,PB,S,M,100.0,Masters,Yes,N,35.0,two
4125,High,USA,M,10,E,DBAP,N,7,2.0,6,C,PB,S,M,400.0,Bachelors (4 years),No,YesValid,42.0,one
4126,High,USA,M,5,E,E,N,5,2.0,0,m,PB,SE,M,6.0,Bachelors (4 years),No,N,60.0,zero
4127,Mid,Norway,M,10,E,DBAG,N,16,3.0,1,C,PB,S,M,90.0,None (no degree completed),,N,45.0,one
4128,Very High,UK,M,15,E,DBAG,N,3,3.0,1,m,PB,C,M,70.0,Associates (2 years),Yes,YesExpired,40.0,five
4129,Very High,USA,,3,E,AN,N,4,1.0,6,m,PB,S,F,1.0,Masters,No,N,45.0,zero
4130,Very Low,UK,M,2,E,D,N,2,1.0,1,C,PB,C,M,2.0,Bachelors (4 years),No,N,40.0,zero
4131,Mid,USA,M,5,E,D,N,4,1.0,1,C,PB,,M,10.0,Masters,Yes,N,40.0,one
4132,High,Iceland,M,21,E,DBAP,N,18,3.0,0,c,PB,S,M,100.0,Bachelors (4 years),Yes,YesExpired,38.0,zero
4133,Low,USA,A,3,E,AN,N,3,2.0,3,C,PB,S,F,2.0,Bachelors (4 years),No,YesExpired,40.0,zero
4134,Very High,UK,M,4,IC,DT,N,4,4.0,1,c,PB,SR,F,4.0,Masters,Yes,YesValid,35.0,zero
4135,Very Low,Germany,P,3,E,,N,1,1.0,2,c,PB,S,M,30.0,Bachelors (4 years),Yes,N,38.0,one
4136,Very High,USA,P,8,E,A,Y,5,2.0,1,c,PB,S,M,10.0,Bachelors (4 years),No,YesExpired,40.0,one
4137,Low,USA,MA,4,E,AN,N,4,1.0,1,c,PB,S,M,5.0,Masters,No,N,40.0,one
4138,High,USA,M,15,E,A,Y,6,1.0,0,C,SG,S,M,125.0,Bachelors (4 years),Yes,YesExpired,55.0,five
4139,High,USA,M,15,E,A,Y,6,1.0,0,C,SG,S,M,125.0,Bachelors (4 years),Yes,YesExpired,55.0,five
4140,Low,UK,M,10,E,DBAG,N,5,2.0,1,C,PB,S,M,10.0,Bachelors (4 years),No,YesValid,36.0,two
4141,Very High,USA,M,18,EC,DBAG,N,12,4.0,2,m,PB,,M,20.0,Bachelors (4 years),No,YesExpired,40.0,zero
4142,Low,USA,M,1,E,DA,N,1,1.0,0,c,PB,S,M,2.0,Associates (2 years),No,YesValid,40.0,zero
4143,Very Low,Australia,M,5,E,DT,N,6,3.0,0,c,PB,,M,3.0,Bachelors (4 years),Yes,N,40.0,zero
4144,Very High,Australia,M,5,IC,DT,N,5,1.0,2,m,PB,,M,16.0,Bachelors (4 years),Yes,N,40.0,zero
4145,High,USA,O,5,E,DBAP,N,6,1.0,6,t,E,S,M,60.0,Bachelors (4 years),Yes,YesExpired,45.0,two
4146,Low,USA,P,3,E,DS,Y,3,1.0,1,C,PB,S,M,1.0,Bachelors (4 years),No,N,45.0,zero
4147,High,USA,M,5,EC,DBAG,N,4,2.0,0,C,FG,S,M,40.0,Bachelors (4 years),Yes,N,40.0,zero
4148,Low,USA,M,4,E,DT,Y,4,1.0,2,m,PB,SE,M,1.0,Masters,No,N,50.0,four
4149,Very Low,USA,M,1,E,AN,N,4,2.0,2,c,PB,SE,M,5.0,Bachelors (4 years),No,N,40.0,two
4150,Very Low,Romania,M,10,E,DT,N,5,1.0,5,m,PB,S,M,300.0,Bachelors (4 years),No,N,50.0,one
4151,Very Low,Italy,M,4,E,DT,N,4,2.0,2,c,PB,SE,M,10.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4152,Very Low,Poland,M,4,E,DT,N,3,2.0,6,m,PB,S,M,10.0,Masters,No,YesExpired,40.0,zero
4153,Low,USA,M,10,E,DBAG,N,3,2.0,2,t,NP,,M,135.0,Masters,Yes,N,45.0,zero
4154,Mid,USA,M,5,E,DBAP,Y,1,2.0,0,T,PB,S,M,20.0,Bachelors (4 years),Yes,N,40.0,zero
4155,Very Low,USA,M,2,E,AN,Y,2,1.0,0,m,PB,SR,M,6.0,None (no degree completed),No,N,45.0,zero
4156,Low,Denmark,M,10,E,DBAG,N,8,3.0,0,c,PB,S,M,8.0,Associates (2 years),,YesValid,37.0,zero
4157,Very High,USA,M,12,E,DBAG,N,12,5.0,1,m,PB,S,M,50.0,Bachelors (4 years),Yes,N,100.0,zero
4158,High,USA,M,5,EC,A,N,1,1.0,3,m,PB,S,M,30.0,Bachelors (4 years),Yes,N,45.0,two
4159,Mid,USA,M,6,E,D,N,6,1.0,1,m,FG,SR,F,3.0,Bachelors (4 years),Yes,N,40.0,one
4160,High,USA,M,2,E,DA,Y,2,1.0,5,C,PB,S,M,5.0,Bachelors (4 years),No,N,65.0,zero
4161,High,USA,M,6,E,AN,N,3,1.0,0,m,PB,C,M,4.0,Bachelors (4 years),Yes,N,50.0,zero
4162,Low,USA,M,4,E,DT,N,3,1.0,1,m,PB,SR,M,10.0,None (no degree completed),,YesExpired,48.0,zero
4163,High,USA,M,7,E,D,N,4,2.0,0,T,PB,C,F,5.0,Bachelors (4 years),No,N,75.0,zero
4164,High,USA,M,21,E,DBAG,N,21,3.0,0,C,PB,S,M,2.0,Bachelors (4 years),Yes,YesExpired,45.0,one
4165,Mid,Belgium,M,10,IC,DA,Y,20,6.0,1,m,PB,SE,M,1.0,None (no degree completed),No,N,30.0,one
4166,Low,Israel,M,19,E,DBAG,N,15,2.0,0,T,PB,S,M,5.0,Masters,,YesValid,40.0,zero
4167,Very Low,Netherlands,M,10,E,DBAP,N,9,1.0,0,C,PB,,M,10.0,Associates (2 years),Yes,N,40.0,one
4168,Very Low,Netherlands,A,5,EC,D,Y,5,1.0,6,m,PB,SE,M,10.0,Masters,Yes,YesValid,32.0,zero
4169,Mid,USA,M,8,E,DBAP,N,8,2.0,1,m,PB,S,M,30.0,None (no degree completed),,YesValid,45.0,five
4170,High,USA,P,1,E,M,Y,4,2.0,0,m,PB,S,M,4.0,Bachelors (4 years),No,N,40.0,zero
4171,Mid,USA,M,20,E,,N,6,2.0,1,C,SG,C,M,2.0,Bachelors (4 years),No,YesExpired,40.0,zero
4172,High,USA,M,20,EC,DBAP,N,20,6.0,6,c,PB,S,M,1000.0,Masters,Yes,YesExpired,45.0,five
4173,Very High,UK,M,18,IC,DBAP,N,18,6.0,2,m,PB,C,M,200.0,Bachelors (4 years),No,YesExpired,35.0,one
4174,Mid,USA,M,4,E,DT,N,4,2.0,0,C,PB,SR,M,2.0,Bachelors (4 years),No,N,40.0,zero
4175,Low,USA,M,7,E,DBAG,N,2,2.0,1,C,PB,S,M,35.0,None (no degree completed),,YesValid,40.0,zero
4176,Very High,USA,M,21,EC,A,N,1,4.0,4,c,FG,S,M,6.0,None (no degree completed),,YesValid,50.0,zero
4177,Low,Canada,M,14,E,DBAG,Y,7,3.0,3,C,SG,SE,M,200.0,Associates (2 years),Yes,YesExpired,37.0,zero
4178,Very High,USA,M,18,EC,DBAP,N,18,6.0,0,m,FG,S,M,5.0,None (no degree completed),,YesValid,40.0,four
4179,Very High,USA,M,20,E,DBAD,N,16,3.0,0,m,PB,SR,M,16.0,Bachelors (4 years),Yes,N,45.0,zero
4180,Mid,South-Africa,M,20,E,DT,N,14,2.0,2,C,PB,S,M,20.0,Bachelors (4 years),Yes,YesExpired,80.0,one
4181,Very High,USA,M,5,E,DBAP,N,5,2.0,0,C,FG,SR,M,1.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4182,High,USA,M,15,E,DBAG,N,15,6.0,1,c,PB,S,M,6.0,Masters,No,YesExpired,40.0,five
4183,Very High,USA,M,20,E,DBAG,N,15,4.0,0,C,PB,S,F,15.0,Associates (2 years),Yes,YesValid,40.0,zero
4184,Very High,USA,M,13,IC,DBAP,N,6,2.0,5,C,PB,SE,M,200.0,Bachelors (4 years),No,YesValid,50.0,three
4185,High,USA,M,20,E,DBAD,Y,20,1.0,0,c,PB,S,M,9.0,Bachelors (4 years),No,N,40.0,three
4186,Low,Germany,M,15,IC,DT,N,5,2.0,0,m,PB,SR,M,5.0,Associates (2 years),,N,40.0,five
4187,Very Low,Finland,M,10,EC,DBAG,N,10,3.0,4,C,PB,SR,M,100.0,None (no degree completed),,YesExpired,40.0,three
4188,Low,UK,M,6,E,DT,Y,7,4.0,2,c,E,C,M,20.0,Bachelors (4 years),Yes,N,43.0,one
4189,Mid,USA,M,4,E,DBAG,N,1,2.0,1,m,PB,S,M,20.0,Bachelors (4 years),No,N,40.0,two
4190,Mid,USA,T,1,E,D,N,1,1.0,1,c,PB,S,M,2.0,Associates (2 years),Yes,N,45.0,one
4191,Mid,USA,M,4,E,DBAG,N,1,3.0,6,m,PB,SR,M,250.0,Bachelors (4 years),Yes,N,45.0,one
4192,Low,Canada,M,10,E,DBAP,N,10,3.0,1,m,PB,SE,M,57.0,Bachelors (4 years),Yes,N,40.0,zero
4193,Mid,USA,M,6,E,DBAG,N,21,2.0,0,c,LG,S,M,27.0,Bachelors (4 years),No,YesValid,40.0,zero
4194,Low,USA,M,2,E,DBAG,N,2,2.0,4,C,FG,S,M,50.0,Bachelors (4 years),Yes,N,40.0,zero
4195,High,USA,M,10,E,DBAG,N,8,2.0,0,c,PB,SR,M,10.0,Masters,Yes,N,50.0,zero
4196,Mid,USA,M,10,EC,DT,N,2,1.0,2,T,PB,SR,F,25.0,Masters,No,YesExpired,45.0,five
4197,High,USA,M,9,E,DBAG,N,2,2.0,1,m,PB,S,M,30.0,Associates (2 years),Yes,YesValid,40.0,one
4198,Very High,USA,M,23,E,DBAP,N,23,6.0,5,m,PB,,M,7500.0,None (no degree completed),No,N,50.0,one
4199,Very High,USA,M,20,E,A,Y,4,1.0,0,C,PB,S,M,938.0,Associates (2 years),No,YesExpired,43.0,zero
4200,Very High,USA,M,1,E,DBAP,N,1,1.0,1,m,PB,S,F,100.0,Masters,Yes,N,50.0,zero
4201,Very Low,Romania,M,12,E,DBAG,Y,10,4.0,0,t,PB,,F,20.0,Bachelors (4 years),No,YesExpired,50.0,zero
4202,Mid,USA,M,4,E,D,N,7,2.0,0,m,PB,S,M,10.0,Masters,Yes,YesExpired,40.0,zero
4203,Very Low,USA,M,2,E,DT,N,2,1.0,4,T,PB,C,F,3.0,None (no degree completed),,N,40.0,zero
4204,Very Low,Spain,M,3,E,DBAG,N,0,1.0,0,m,PB,S,M,20.0,None (no degree completed),,YesExpired,44.0,zero
4205,Very Low,South-Africa,M,10,E,D,N,2,1.0,2,m,PB,S,M,13.0,Bachelors (4 years),Yes,N,45.0,zero
4206,Very Low,Lithuania,M,3,E,DT,N,3,1.0,0,c,PB,SE,M,150.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4207,Very Low,UK,M,3,E,DBAG,N,1,1.0,2,m,NP,S,M,20.0,Bachelors (4 years),No,YesValid,40.0,one
4208,Low,USA,M,4,E,DA,N,4,2.0,4,m,PB,SR,M,3.0,None (no degree completed),,N,40.0,zero
4209,High,USA,M,3,E,M,Y,3,1.0,0,m,PB,C,M,5.0,Masters,No,N,50.0,zero
4210,Very Low,France,M,13,EC,DBAD,N,13,5.0,3,C,PB,SE,M,10.0,Bachelors (4 years),Yes,YesExpired,39.0,zero
4211,Very High,USA,M,14,E,DBAG,N,25,2.0,0,m,NP,S,M,8.0,Associates (2 years),Yes,YesExpired,40.0,two
4212,Mid,USA,M,9,E,DBAG,N,9,2.0,2,C,PB,,F,46.0,Bachelors (4 years),Yes,YesValid,44.0,zero
4213,Mid,USA,M,10,E,DBAP,N,25,3.0,1,T,SG,C,M,200.0,Associates (2 years),,YesExpired,50.0,zero
4214,High,USA,M,6,E,DBAG,Y,6,2.0,0,m,PB,SE,M,12.0,None (no degree completed),,N,40.0,zero
4215,Mid,USA,M,5,E,DBAP,N,20,1.0,0,m,LG,S,F,30.0,Bachelors (4 years),Yes,YesExpired,45.0,one
4216,High,USA,M,12,E,DBAP,N,12,4.0,2,T,PB,S,F,29.0,Bachelors (4 years),Yes,N,40.0,two
4217,Very High,USA,M,15,E,DT,N,15,4.0,6,m,PB,S,M,25.0,Bachelors (4 years),Yes,YesExpired,40.0,one
4218,Low,USA,M,1,E,DBAD,Y,1,1.0,2,T,PB,SE,M,10.0,Associates (2 years),Yes,YesValid,55.0,zero
4219,Very Low,PuertoRico,M,5,E,AN,N,3,1.0,1,c,PB,SE,M,20.0,Bachelors (4 years),Yes,YesValid,50.0,zero
4220,Mid,USA,M,15,E,DBAG,Y,18,3.0,0,C,PB,S,M,5.0,Associates (2 years),No,YesValid,45.0,zero
4221,Very High,USA,M,21,E,D,N,13,6.0,5,C,PB,S,M,20.0,Bachelors (4 years),No,N,48.0,one
4222,High,USA,M,11,E,DBAG,N,11,4.0,0,c,PB,SR,M,24.0,Associates (2 years),Yes,N,45.0,zero
4223,Mid,USA,M,8,E,DBAG,N,8,2.0,0,C,PB,S,M,30.0,None (no degree completed),,YesValid,40.0,five
4224,High,USA,M,29,E,DBAP,N,20,2.0,0,m,PB,S,M,43.0,Masters,No,N,50.0,zero
4225,Mid,USA,M,4,E,DBAP,N,3,1.0,6,m,PB,,M,600.0,Bachelors (4 years),No,N,40.0,zero
4226,Mid,USA,M,5,E,AN,N,5,3.0,4,C,PB,C,M,5.0,Masters,No,YesValid,40.0,zero
4227,Mid,USA,M,6,EC,DBAP,Y,25,6.0,1,C,PB,,M,24.0,Associates (2 years),Yes,YesExpired,46.0,four
4228,Low,USA,O,1,E,AN,N,1,1.0,6,T,NP,S,M,4.0,Masters,Yes,YesValid,45.0,two
4229,Low,USA,M,4,E,AN,N,4,1.0,3,c,NP,S,M,4.0,Bachelors (4 years),No,N,40.0,one
4230,Low,USA,M,6,E,DBAP,N,2,2.0,3,c,PB,S,M,100.0,Bachelors (4 years),No,N,42.0,one
4231,High,USA,M,10,EC,DBAD,N,10,5.0,1,m,FG,SR,M,6.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4232,Low,UK,M,9,E,DBAP,N,9,3.0,0,c,PB,S,M,26.0,None (no degree completed),,YesValid,37.0,zero
4233,High,USA,M,7,E,DA,N,8,2.0,5,C,PB,SR,M,2.0,Associates (2 years),,YesValid,40.0,zero
4234,High,USA,M,11,E,DBAP,N,11,4.0,0,m,PB,,M,200.0,Bachelors (4 years),Yes,N,40.0,zero
4235,Mid,USA,M,10,E,DBAG,N,7,3.0,0,m,PB,S,M,8.0,Associates (2 years),Yes,YesExpired,40.0,zero
4236,High,USA,M,15,E,DBAG,N,15,3.0,1,m,PB,S,M,3.0,Doctorate/PhD,No,YesValid,40.0,zero
4237,High,USA,M,15,E,DT,N,1,4.0,2,C,PB,S,M,40.0,Masters,Yes,YesValid,50.0,five
4238,Very Low,Romania,M,6,E,DBAG,Y,6,2.0,6,c,PB,S,M,120.0,None (no degree completed),Yes,YesValid,45.0,zero
4239,Very High,USA,M,15,IC,DT,N,12,3.0,5,m,PB,S,M,5.0,Bachelors (4 years),No,YesValid,35.0,five
4240,Very High,USA,M,18,E,DBAG,Y,10,2.0,3,m,PB,SR,M,55.0,Bachelors (4 years),Yes,N,50.0,zero
4241,High,USA,M,11,E,DBAP,Y,8,5.0,1,C,PB,S,M,35.0,Bachelors (4 years),Yes,YesValid,50.0,zero
4242,Very High,USA,M,15,E,DBAP,N,7,6.0,0,C,PB,SR,M,12.0,None (no degree completed),,N,40.0,three
4243,High,Canada,M,15,E,DBAP,N,3,5.0,2,C,LG,SR,M,150.0,Masters,Yes,YesValid,37.0,zero
4244,Very Low,Slovakia,M,5,E,DT,Y,1,4.0,1,C,PB,S,M,8.0,Masters,No,YesValid,44.0,zero
4245,Low,UK,M,12,E,DBAP,N,9,4.0,6,C,PB,S,M,200.0,Masters,Yes,YesValid,40.0,zero
4246,Mid,USA,M,8,E,D,N,12,4.0,4,C,PB,S,NB,2.0,Bachelors (4 years),Yes,YesExpired,45.0,two
4247,Very High,Denmark,MA,20,IC,,Y,25,6.0,0,m,PB,S,M,20.0,Masters,Yes,N,40.0,five
4248,Very High,USA,M,20,IC,A,Y,10,2.0,0,m,PB,S,M,5.0,Masters,Yes,YesExpired,70.0,five
4249,Low,USA,M,7,E,DT,N,7,2.0,2,c,PB,S,F,3.0,Bachelors (4 years),Yes,N,40.0,zero
4250,Very High,USA,M,12,IC,D,N,2,1.0,1,C,PB,S,M,10.0,Bachelors (4 years),Yes,N,40.0,five
4251,Mid,Switzerland,M,5,E,DBAP,N,5,2.0,4,T,PB,S,,200.0,Bachelors (4 years),,N,43.0,zero
4252,Very High,USA,M,18,IC,DBAP,Y,18,6.0,1,T,PB,S,M,100.0,Bachelors (4 years),No,YesExpired,40.0,five
4253,Very High,USA,M,15,IC,A,N,15,2.0,0,m,PB,S,M,50.0,Bachelors (4 years),Yes,YesValid,70.0,three
4254,Low,Canada,M,11,E,DBAG,N,2,3.0,1,C,PB,S,M,25.0,Bachelors (4 years),Yes,YesValid,37.0,zero
4255,Very Low,Ukraine,P,2,EC,E,N,15,6.0,5,m,PB,C,M,30.0,None (no degree completed),,YesValid,25.0,five
4256,Mid,USA,M,19,E,AN,N,13,1.0,3,C,LG,S,M,200.0,Bachelors (4 years),Yes,N,40.0,zero
4257,Low,New-Zealand,M,24,E,E,Y,27,3.0,6,c,PB,S,M,500.0,None (no degree completed),,YesExpired,38.0,one
4258,High,USA,M,10,E,AN,N,10,1.0,6,C,E,S,M,4.0,Bachelors (4 years),Yes,N,40.0,zero
4259,Very Low,Romania,M,12,E,DT,N,10,4.0,4,T,PB,S,M,5.0,Bachelors (4 years),,YesExpired,40.0,zero
4260,Very High,USA,M,18,E,DBAG,Y,18,2.0,3,C,PB,,M,3500.0,Associates (2 years),Yes,YesExpired,45.0,zero
4261,Mid,UK,M,20,E,A,Y,10,2.0,2,C,PB,,M,10.0,Masters,Yes,YesValid,48.0,zero
4262,Mid,Netherlands,M,24,E,DBAP,Y,18,3.0,2,C,FG,S,M,150.0,Masters,Yes,YesExpired,42.0,zero
4263,Very High,Switzerland,M,25,E,DBAP,N,25,2.0,1,C,PB,S,M,30.0,Bachelors (4 years),Yes,YesValid,42.0,zero
4264,Very Low,UK,M,4,E,DBAP,N,4,3.0,4,C,PB,SE,M,2000.0,None (no degree completed),,N,40.0,five
4265,High,USA,M,23,E,A,N,14,2.0,2,C,PB,S,M,500.0,Bachelors (4 years),Yes,N,48.0,two
4266,High,USA,M,19,E,DBAG,N,19,3.0,1,C,PB,SR,F,20.0,Bachelors (4 years),No,YesValid,40.0,four
4267,Low,USA,M,5,E,DBAG,N,5,1.0,2,m,PB,SR,M,150.0,Bachelors (4 years),Yes,N,42.0,one
4268,High,USA,M,6,E,DT,N,5,2.0,6,T,PB,S,M,10.0,Bachelors (4 years),No,YesValid,40.0,five
4269,Very Low,UK,M,1,E,DBAG,N,1,1.0,1,m,PB,S,M,180.0,None (no degree completed),,N,40.0,zero
4270,Very High,USA,O,12,E,DBAG,N,3,2.0,0,T,PB,S,M,100.0,Bachelors (4 years),No,N,40.0,zero
4271,Mid,USA,M,17,E,DBAG,N,1,5.0,0,T,NP,SE,F,200.0,Associates (2 years),No,YesExpired,60.0,zero
4272,Very High,USA,M,11,E,DT,Y,1,2.0,3,C,PB,S,F,3.0,Bachelors (4 years),No,N,40.0,one
4273,Low,USA,M,10,E,DBAG,N,8,2.0,2,T,PB,S,M,120.0,Bachelors (4 years),Yes,YesValid,40.0,three
4274,Mid,USA,M,18,EC,DBAG,N,10,2.0,1,C,PB,C,M,32.0,None (no degree completed),,N,50.0,two
4275,Mid,USA,M,10,E,DBAP,N,10,3.0,6,m,PB,S,M,500.0,Bachelors (4 years),Yes,YesValid,40.0,one
4276,Mid,Canada,M,20,E,D,N,20,3.0,0,C,PB,S,M,3.0,Masters,Yes,YesValid,40.0,two
4277,Very High,USA,M,5,E,DBAG,N,5,1.0,2,C,NP,S,M,60.0,Bachelors (4 years),Yes,N,40.0,two
4278,Very High,Switzerland,M,32,IC,DBAG,Y,32,2.0,6,C,PB,S,M,1000.0,Masters,Yes,YesValid,70.0,three
4279,High,USA,M,13,E,DBAP,Y,13,4.0,6,C,PB,,F,100.0,Bachelors (4 years),Yes,N,45.0,five
4280,Very High,USA,M,16,IC,DA,N,30,4.0,0,c,PB,S,M,2.0,Bachelors (4 years),Yes,N,45.0,five
4281,High,USA,M,20,E,DBAG,N,20,2.0,0,m,PB,S,M,125.0,Masters,No,YesValid,50.0,zero
4282,Very High,USA,M,20,E,DBAP,N,6,2.0,5,C,PB,C,M,150.0,Associates (2 years),Yes,YesValid,40.0,two
4283,Very Low,Ukraine,M,5,E,DBAG,N,3,2.0,1,C,PB,S,M,85.0,Bachelors (4 years),No,N,45.0,zero
4284,Mid,USA,M,16,E,DBAP,N,16,3.0,0,T,PB,S,F,6.0,Bachelors (4 years),No,YesExpired,50.0,five
4285,Very High,USA,M,18,E,DBAG,Y,17,3.0,0,m,PB,SR,F,15.0,Bachelors (4 years),Yes,N,45.0,one
4286,Mid,USA,M,5,E,DBAG,N,10,3.0,6,t,PB,S,F,40.0,Masters,Yes,N,45.0,zero
4287,Low,USA,P,4,E,E,Y,3,2.0,0,C,PB,S,M,7.0,Bachelors (4 years),Yes,N,55.0,zero
4288,Low,Canada,M,10,E,DBAD,N,7,1.0,3,c,PB,S,M,150.0,Associates (2 years),Yes,N,40.0,zero
4289,Mid,USA,M,11,E,DA,Y,7,2.0,0,T,NP,S,M,31.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4290,Mid,USA,M,10,E,DBAG,N,10,2.0,0,C,PB,SE,M,20.0,Bachelors (4 years),No,N,36.0,zero
4291,Low,USA,M,11,E,DBAG,N,11,1.0,0,c,PB,S,M,6.0,Bachelors (4 years),Yes,N,45.0,zero
4292,Mid,USA,M,6,E,E,N,6,3.0,5,C,PB,S,M,6.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4293,Very High,Australia,M,18,IC,DBAP,N,1,1.0,1,C,FG,S,M,70.0,Associates (2 years),,YesExpired,40.0,zero
4294,Mid,Austria,M,21,E,M,Y,18,2.0,0,T,PB,C,M,7.0,Masters,Yes,YesValid,55.0,one
4295,Very High,USA,M,16,E,A,Y,22,6.0,0,m,PB,SE,M,9.0,Masters,Yes,N,50.0,one
4296,Mid,USA,M,4,E,DA,N,5,3.0,6,T,PB,S,M,3.0,Masters,Yes,N,42.0,five
4297,Mid,Germany,M,14,E,DA,N,12,1.0,1,m,PB,S,M,10.0,None (no degree completed),,N,40.0,zero
4298,Mid,USA,M,16,E,M,Y,1,5.0,0,C,SG,S,M,15.0,Bachelors (4 years),Yes,N,55.0,one
4299,Low,Canada,M,1,E,DBAP,N,5,3.0,0,C,PB,S,M,10.0,Bachelors (4 years),Yes,N,40.0,three
4300,Very Low,Latvia,M,1,E,DBAD,N,1,1.0,1,C,PB,S,M,6.0,Bachelors (4 years),,N,40.0,zero
4301,Low,Germany,M,12,E,DBAD,N,5,1.0,1,c,PB,SR,M,3.0,None (no degree completed),No,YesExpired,40.0,zero
4302,Very Low,UK,M,5,E,DBAG,N,5,4.0,1,c,PB,S,M,23.0,None (no degree completed),,YesValid,37.0,two
4303,High,USA,M,10,E,A,Y,10,3.0,0,m,PB,S,M,6.0,Associates (2 years),Yes,YesExpired,50.0,one
4304,Low,UK,M,13,E,DBAP,N,13,6.0,1,c,NP,S,M,75.0,Bachelors (4 years),Yes,YesValid,35.0,one
4305,Low,USA,M,5,E,DBAD,N,5,1.0,1,C,PB,S,M,10.0,Associates (2 years),Yes,YesValid,40.0,zero
4306,Very High,USA,M,16,E,DBAD,N,15,3.0,4,C,PB,SE,M,70.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4307,High,USA,M,5,E,DBAG,Y,7,3.0,0,C,PB,SR,M,15.0,None (no degree completed),,YesValid,45.0,one
4308,Very High,UK,M,10,E,E,N,5,3.0,1,m,PB,SE,F,1500.0,Bachelors (4 years),No,N,40.0,one
4309,Low,Netherlands,M,15,E,DBAG,Y,3,3.0,2,C,PB,C,M,55.0,Associates (2 years),No,N,40.0,two
4310,High,USA,M,15,IC,DBAG,N,4,4.0,4,C,PB,,M,12.0,Bachelors (4 years),No,N,35.0,three
4311,Mid,USA,M,15,E,DBAG,Y,17,1.0,2,c,SG,SE,M,1000.0,Bachelors (4 years),No,N,40.0,two
4312,Low,Jersey,M,6,E,DBAG,N,2,1.0,0,T,PB,S,M,30.0,Bachelors (4 years),No,YesValid,38.0,zero
